Nome: PALMAS;;;;;
Codigo Estacao: A009;;;;;
Latitude: -10.14777777;;;;;
Longitude: -48.31444444;;;;;
Altitude: 267;;;;;
Situacao: Operante;;;;;
Data Inicial: 2020-01-01;;;;;
Data Final: 2023-01-31;;;;;
Periodicidade da Medicao: Diaria;;;;;
;;;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);;;;
25/04/2022;0;;;;
26/04/2022;0;;;;
27/04/2022;0;;;;
28/04/2022;0;;;;
29/04/2022;0;;;;
30/04/2022;0;;;;
01/05/2022;0;;;;
02/05/2022;0;;;;
03/05/2022;0;;;;
04/05/2022;0;;;;
05/05/2022;0;;;;
06/05/2022;3;;;;
07/05/2022;0;;;;
08/05/2022;0;;;;
09/05/2022;null;;;;
10/05/2022;null;;;;
11/05/2022;null;;;;
12/05/2022;null;;;;
13/05/2022;null;;;;
14/05/2022;null;;;;
15/05/2022;null;;;;
16/05/2022;null;;;;
17/05/2022;null;;;;
18/05/2022;null;;;;
19/05/2022;null;;;;
20/05/2022;null;;;;
21/05/2022;null;;;;
22/05/2022;null;;;;
23/05/2022;null;;;;
24/05/2022;null;;;;
25/05/2022;null;;;;
26/05/2022;null;;;;
27/05/2022;null;;;;
28/05/2022;null;;;;
29/05/2022;null;;;;
30/05/2022;null;;;;
31/05/2022;null;;;;
01/06/2022;null;;;;
02/06/2022;null;;;;
03/06/2022;null;;;;
04/06/2022;null;;;;
05/06/2022;null;;;;
06/06/2022;null;;;;
07/06/2022;null;;;;
08/06/2022;null;;;;
09/06/2022;null;;;;
10/06/2022;null;;;;
11/06/2022;null;;;;
12/06/2022;null;;;;
13/06/2022;null;;;;
14/06/2022;null;;;;
15/06/2022;null;;;;
16/06/2022;null;;;;
17/06/2022;null;;;;
18/06/2022;null;;;;
19/06/2022;null;;;;
20/06/2022;null;;;;
21/06/2022;null;;;;
22/06/2022;null;;;;
23/06/2022;null;;;;
24/06/2022;null;;;;
25/06/2022;null;;;;
26/06/2022;null;;;;
27/06/2022;null;;;;
28/06/2022;null;;;;
29/06/2022;null;;;;
30/06/2022;null;;;;
01/07/2022;null;;;;
02/07/2022;0,4;;;;
